"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment M1 Value","treatment M1 Exposure Volume","treatment M1 Absolute Impact","treatment M1 Absolute Impact Confidence Interval","treatment M1 Relative Impact","treatment M1 Relative Impact Confidence Interval","treatment M1 P Value","treatment M1 Significance","treatment M1 Coverage","treatment M1 Relative Global Lift","treatment M1 Absolute Global Lift"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dp_paid_pause_cancel","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_frequency_7d","Metric","N/A","","mean","2.643846","3,358,728","2.647267","3,358,512","0.003310","[+0.00063, +0.005991]","0.001252","[+0.0238%, +0.2266%]","0.015504","Significant","","",""
"dsmp_order_rate_14d","Metric","N/A","","mean","5.011371","970,679","5.016794","970,020","0.007442","[-0.002113, +0.016996]","0.001485","[-0.0422%, +0.3392%]","0.126884","-","","",""
"dsmp_order_rate_7d","Metric","N/A","","mean","1.589224","5,587,605","1.591473","5,586,572","0.002002","[+0.000092, +0.003913]","0.001260","[+0.0058%, +0.2462%]","0.039939","Significant","","",""
"dsmp_perc_mx_trialers","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"first_contact_resolution_rate","Metric","N/A","","mean","0.901013","314,535","0.902117","313,808","0.001090","[-0.000619, +0.002798]","0.001209","[-0.0687%, +0.3106%]","0.211367","-","","",""
"gov_per_order_curie","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"hqdr_ratio","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"nv_fco_all","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"nv_hqfr","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"nv_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_aov","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_gmv","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_subtotal","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_vp","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_vp_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_frequency_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_inflation_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ox_subtotal_combined","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"vol_from_over_25","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
