"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"chex_ct_cancel_order","Metric","N/A","","mean","0.021454","4,577,026","0.021485","4,715,239","0.000031","[-0.000099, +0.00016]","0.001437","[-0.4601%, +0.7475%]","0.640829","-","","","","0.021461","4,576,405","0.000007","[-0.000124, +0.000137]","0.000320","[-0.5759%, +0.6399%]","0.917815","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.816059","5,357,733","0.815740","5,520,600","-0.000275","[-0.000613, +0.000064]","-0.000337","[-0.0752%, +0.0078%]","0.111608","-","","","","0.815904","5,356,315","-0.000172","[-0.000513, +0.000169]","-0.000211","[-0.0629%, +0.0207%]","0.321590","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.803070","5,357,733","0.802718","5,520,600","-0.000295","[-0.000644, +0.000054]","-0.000367","[-0.0802%, +0.0068%]","0.097780","-","","","","0.802883","5,356,315","-0.000194","[-0.000545, +0.000158]","-0.000241","[-0.0679%, +0.0197%]","0.280525","-","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.060200","5,357,733","0.060151","5,520,600","-0.000050","[-0.000267, +0.000166]","-0.000836","[-0.4435%, +0.2763%]","0.649056","-","","","","0.060212","5,356,315","0.000008","[-0.00021, +0.000227]","0.000138","[-0.3488%, +0.3764%]","0.940474","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.895775","5,357,733","0.895678","5,520,600","-0.000069","[-0.000329, +0.00019]","-0.000077","[-0.0367%, +0.0213%]","0.601277","-","","","","0.895416","5,356,315","-0.000366","[-0.000628, -0.000105]","-0.000409","[-0.0701%, -0.0117%]","0.006080","Significant","","",""
"chex_ct_conversion_after_cancel","Metric","N/A","","mean","0.931980","215,600","0.931463","222,179","-0.000582","[-0.002016, +0.000852]","-0.000624","[-0.2163%, +0.0914%]","0.426257","-","","","","0.929759","215,343","-0.002270","[-0.003723, -0.000818]","-0.002436","[-0.3994%, -0.0878%]","0.002181","Significant","","",""
"chex_ct_conversion_after_checkout_failure","Metric","N/A","","mean","0.837130","644,898","0.837841","664,155","0.000723","[-0.000476, +0.001922]","0.000864","[-0.0568%, +0.2296%]","0.237025","-","","","","0.838412","645,118","0.001237","[+0.000031, +0.002444]","0.001478","[+0.0037%, +0.2919%]","0.044367","Significant","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.890092","480,893","0.890861","496,032","0.000791","[-0.000374, +0.001956]","0.000889","[-0.042%, +0.2197%]","0.183265","-","","","","0.891301","481,604","0.001191","[+0.000019, +0.002363]","0.001338","[+0.0021%, +0.2655%]","0.046438","Significant","","",""
"chex_ct_mfa_page_close","Metric","N/A","","mean","0.144039","101,729","0.143562","104,515","-0.000735","[-0.003753, +0.002283]","-0.005105","[-2.6057%, +1.5847%]","0.632984","-","","","","0.143157","101,642","-0.001094","[-0.004125, +0.001937]","-0.007594","[-2.8637%, +1.3449%]","0.479348","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.009032","4,577,026","0.009000","4,715,239","-0.000032","[-0.000111, +0.000047]","-0.003582","[-1.2316%, +0.5152%]","0.421524","-","","","","0.009040","4,576,405","0.000010","[-0.000069, +0.00009]","0.001139","[-0.7667%, +0.9944%]","0.799917","-","","",""
"chex_ct_mfa_page_success","Metric","N/A","","mean","0.895995","101,729","0.895185","104,515","-0.000664","[-0.003332, +0.002004]","-0.000741","[-0.3719%, +0.2237%]","0.625666","-","","","","0.896419","101,642","0.000650","[-0.002025, +0.003325]","0.000726","[-0.226%, +0.3711%]","0.633822","-","","",""
"chex_ct_payment_error","Metric","N/A","","mean","0.055578","4,577,026","0.055639","4,715,239","0.000060","[-0.000176, +0.000295]","0.001073","[-0.3162%, +0.5307%]","0.619511","-","","","","0.055654","4,576,405","0.000074","[-0.000163, +0.000311]","0.001326","[-0.2938%, +0.5591%]","0.542105","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.906299","4,979,699","0.906033","5,131,333","-0.000253","[-0.000522, +0.000017]","-0.000279","[-0.0576%, +0.0019%]","0.066205","-","","","","0.906540","4,977,127","0.000252","[-0.00002, +0.000523]","0.000278","[-0.0022%, +0.0577%]","0.069057","-","","",""
"chex_ct_store_page_load","Metric","N/A","","mean","0.615374","5,357,733","0.615082","5,520,600","-0.000257","[-0.000671, +0.000157]","-0.000417","[-0.109%, +0.0256%]","0.224316","-","","","","0.615001","5,356,315","-0.000364","[-0.000781, +0.000053]","-0.000592","[-0.1269%, +0.0086%]","0.086955","-","","",""
"chex_ct_too_far_away","Metric","N/A","","mean","0.082096","5,357,733","0.081986","5,520,600","-0.000115","[-0.000367, +0.000137]","-0.001397","[-0.4466%, +0.1671%]","0.372067","-","","","","0.081940","5,356,315","-0.000162","[-0.000416, +0.000092]","-0.001974","[-0.5064%, +0.1117%]","0.210722","-","","",""
"cng_avg_gov","Metric","N/A","","mean","39.946794","1,052,832","39.997203","1,084,139","0.049973","[-0.053778, +0.153724]","0.001251","[-0.1346%, +0.3848%]","0.345146","-","0.402740","0.000497","0.020145","39.941367","1,052,896","-0.005981","[-0.108536, +0.096573]","-0.000150","[-0.2717%, +0.2418%]","0.908990","-","0.402740","-0.000059","-0.002410"
"cng_business_line_1P Convenience","Dimension","cng_avg_gov","","mean","34.003020","120,529","34.005910","123,734","-0.000757","[-0.180123, +0.178609]","-0.000022","[-0.5297%, +0.5253%]","0.993397","-","0.035795","-0.000001","-0.000027","33.966607","119,643","-0.041504","[-0.223804, +0.140796]","-0.001221","[-0.6582%, +0.4141%]","0.655435","-","0.035795","-0.000036","-0.001490"
"cng_business_line_3P Convenience","Dimension","cng_avg_gov","","mean","26.368757","528,977","26.433647","545,470","0.066573","[+0.003573, +0.129573]","0.002525","[+0.0136%, +0.4914%]","0.038347","Significant","0.173979","0.000282","0.011571","26.401691","529,868","0.034801","[-0.028183, +0.097785]","0.001320","[-0.1069%, +0.3708%]","0.278826","-","0.173979","0.000147","0.006050"
"cng_business_line_Alcohol","Dimension","cng_avg_gov","","mean","46.416893","97,449","46.693905","101,107","0.277030","[-0.168692, +0.722751]","0.005968","[-0.3634%, +1.5571%]","0.223157","-","0.032947","0.000223","0.009164","46.722783","97,262","0.305923","[-0.142253, +0.754099]","0.006591","[-0.3065%, +1.6246%]","0.180941","-","0.032947","0.000246","0.010112"
"cng_business_line_Grocery","Dimension","cng_avg_gov","","mean","54.231738","428,377","54.094377","441,843","-0.142981","[-0.333295, +0.047334]","-0.002636","[-0.6146%, +0.0873%]","0.140888","-","0.138505","-0.000482","-0.019811","54.068512","429,836","-0.186463","[-0.373428, +0.000503]","-0.003438","[-0.6886%, +0.0009%]","0.050619","-","0.138505","-0.000628","-0.025813"
"cng_business_line_Pets","Dimension","cng_avg_gov","","mean","53.139321","28,114","53.470151","28,845","0.224410","[-0.432164, +0.880983]","0.004223","[-0.8133%, +1.6579%]","0.502925","-","0.006863","0.000037","0.001539","53.001097","28,151","-0.240493","[-0.89768, +0.416694]","-0.004526","[-1.6893%, +0.7842%]","0.473229","-","0.006863","-0.000040","-0.001657"
"cng_business_line_RetailVert","Dimension","cng_avg_gov","","mean","59.184823","99,038","59.917489","101,575","0.641055","[-0.066859, +1.348969]","0.010831","[-0.113%, +2.2792%]","0.075922","-","0.025452","0.000398","0.016364","59.636937","98,949","0.363450","[-0.33548, +1.062381]","0.006141","[-0.5668%, +1.795%]","0.308108","-","0.025452","0.000225","0.009261"
"consumer_country_Australia","Dimension","cng_avg_gov","","mean","32.835777","13,383","33.079049","13,854","0.246196","[-0.377999, +0.870391]","0.007498","[-1.1512%, +2.6507%]","0.439491","-","0.005572","0.000034","0.001376","33.125897","13,653","0.326132","[-0.285359, +0.937623]","0.009932","[-0.869%, +2.8555%]","0.295873","-","0.005572","0.000044","0.001820"
"consumer_country_Canada","Dimension","cng_avg_gov","","mean","38.215581","18,937","37.993744","19,558","-0.211689","[-0.857089, +0.433712]","-0.005539","[-2.2428%, +1.1349%]","0.520315","-","0.007302","-0.000037","-0.001533","37.887815","18,904","-0.310039","[-0.963247, +0.343169]","-0.008113","[-2.5206%, +0.898%]","0.352227","-","0.007302","-0.000055","-0.002252"
"consumer_country_NULL","Dimension","cng_avg_gov","","mean","30.703338","784","34.924473","790","4.221135","[-0.615335, +9.057606]","0.137481","[-2.0041%, +29.5004%]","0.087155","-","0.000274","0.000026","0.001081","32.421789","769","1.718451","[-2.588665, +6.025566]","0.055970","[-8.4312%, +19.6251%]","0.434223","-","0.000274","0.000011","0.000468"
"consumer_country_US","Dimension","cng_avg_gov","","mean","39.800688","999,269","39.848630","1,029,006","0.047734","[-0.057996, +0.153464]","0.001199","[-0.1457%, +0.3856%]","0.376227","-","0.393423","0.000458","0.018799","39.812103","999,238","0.011051","[-0.093337, +0.115439]","0.000278","[-0.2345%, +0.29%]","0.835628","-","0.393423","0.000106","0.004350"
"consumer_country_Unknown","Dimension","cng_avg_gov","","mean","46.654633","451","44.397637","437","-2.343601","[-9.647375, +4.960172]","-0.050233","[-20.6783%, +10.6317%]","0.529412","-","0.000208","-0.000012","-0.000500","42.873361","457","-3.808084","[-12.06206, +4.445893]","-0.081623","[-25.8539%, +9.5294%]","0.365860","-","0.000208","-0.000020","-0.000810"
"is_new_nv_user_0","Dimension","cng_avg_gov","","mean","39.918499","939,188","39.962793","967,290","0.046069","[-0.060565, +0.152703]","0.001154","[-0.1517%, +0.3825%]","0.397129","-","0.381847","0.000429","0.017607","39.928777","939,609","0.011926","[-0.093302, +0.117153]","0.000299","[-0.2337%, +0.2935%]","0.824214","-","0.381847","0.000111","0.004556"
"is_new_nv_user_1","Dimension","cng_avg_gov","","mean","35.969015","93,071","36.016809","95,805","0.048676","[-0.369934, +0.467287]","0.001353","[-1.0285%, +1.2991%]","0.819719","-","0.024746","0.000029","0.001208","35.890564","92,883","-0.080057","[-0.499622, +0.339509]","-0.002226","[-1.389%, +0.9439%]","0.708421","-","0.024746","-0.000048","-0.001982"
"is_new_nv_user_NULL","Dimension","cng_avg_gov","","mean","33.926416","565","39.640217","550","5.713801","[-0.268426, +11.696027]","0.168417","[-0.7912%, +34.4747%]","0.061204","-","0.000196","0.000025","0.001031","36.245638","529","2.319221","[-2.887375, +7.525818]","0.068360","[-8.5107%, +22.1828%]","0.382639","-","0.000196","0.000011","0.000454"
"consumer_is_dashpass_0","Dimension","cng_avg_gov","","mean","37.371492","434,666","37.433203","447,373","0.063629","[-0.104068, +0.231325]","0.001703","[-0.2785%, +0.619%]","0.457081","-","0.144517","0.000224","0.009198","37.379364","434,604","0.015708","[-0.150422, +0.181837]","0.000420","[-0.4025%, +0.4866%]","0.852983","-","0.144517","0.000055","0.002270"
"consumer_is_dashpass_1","Dimension","cng_avg_gov","","mean","40.950177","597,548","40.980999","615,674","0.028794","[-0.101789, +0.159378]","0.000703","[-0.2486%, +0.3892%]","0.665611","-","0.262065","0.000184","0.007558","40.951582","597,845","0.005294","[-0.123567, +0.134155]","0.000129","[-0.3018%, +0.3276%]","0.935825","-","0.262065","0.000034","0.001389"
"cng_avg_variable_profit","Metric","N/A","","mean","1.022092","1,052,832","1.013320","1,084,139","-0.004817","[-0.026087, +0.016452]","-0.004713","[-2.5523%, +1.6096%]","0.657097","-","0.402740","-0.002033","-0.001942","1.017644","1,052,896","-0.002037","[-0.023384, +0.019311]","-0.001993","[-2.2878%, +1.8893%]","0.851673","-","0.402740","-0.000859","-0.000821"
"cng_business_line_1P Convenience","Dimension","cng_avg_variable_profit","","mean","0.040483","121,786","0.023142","125,041","-0.006891","[-0.165857, +0.152076]","-0.170212","[-409.6954%, +375.653%]","0.932295","-","0.035796","-0.000968","-0.000247","0.025768","120,895","0.024960","[-0.136627, +0.186547]","0.616562","[-337.4915%, +460.8039%]","0.762077","-","0.035796","0.003509","0.000896"
"cng_business_line_3P Convenience","Dimension","cng_avg_variable_profit","","mean","0.528821","538,643","0.532137","555,414","0.001355","[-0.018736, +0.021447]","0.002563","[-3.543%, +4.0556%]","0.894820","-","0.173992","0.000923","0.000236","0.536958","539,742","0.006581","[-0.013716, +0.026878]","0.012445","[-2.5937%, +5.0827%]","0.525098","-","0.173992","0.004480","0.001144"
"cng_business_line_Alcohol","Dimension","cng_avg_variable_profit","","mean","1.951415","99,599","1.905192","103,382","-0.045300","[-0.124374, +0.033774]","-0.023214","[-6.3735%, +1.7308%]","0.261513","-","0.032957","-0.005870","-0.001498","1.965692","99,467","0.012036","[-0.06809, +0.092162]","0.006168","[-3.4893%, +4.7229%]","0.768440","-","0.032957","0.001558","0.000398"
"cng_business_line_Grocery","Dimension","cng_avg_variable_profit","","mean","-0.563055","436,365","-0.589186","450,154","-0.024649","[-0.065007, +0.01571]","-0.043777","[+11.5455%, -2.7901%]","0.231290","-","0.138502","-0.013376","-0.003415","-0.596494","437,786","-0.031203","[-0.071366, +0.008961]","-0.055417","[+12.6749%, -1.5915%]","0.127838","-","0.138502","-0.016922","-0.004320"
"cng_business_line_Pets","Dimension","cng_avg_variable_profit","","mean","1.506061","28,459","1.553972","29,191","0.050499","[-0.102973, +0.203971]","0.033530","[-6.8372%, +13.5433%]","0.518983","-","0.006860","0.001357","0.000346","1.559355","28,473","0.059808","[-0.093293, +0.21291]","0.039712","[-6.1945%, +14.1369%]","0.443886","-","0.006860","0.001615","0.000412"
"cng_dsd_20min_late","Metric","N/A","","mean","0.040548","734,146","0.040709","756,312","0.000160","[-0.00035, +0.000671]","0.003952","[-0.8636%, +1.6539%]","0.538357","-","0.405575","0.001556","0.000065","0.040535","735,005","-0.000015","[-0.000528, +0.000499]","-0.000367","[-1.3031%, +1.2298%]","0.954759","-","0.405575","-0.000144","-0.000006"
"cng_dsd_bad_sub_rating","Metric","N/A","","mean","0.001704","734,144","0.001809","756,308","0.000105","[0, +0.000211]","0.061823","[-0.0097%, +12.3743%]","0.050360","-","0.405588","0.011746","0.000043","0.001811","735,003","0.000107","[+0.000001, +0.000214]","0.062868","[+0.044%, +12.5296%]","0.048408","Significant","0.405588","0.011930","0.000043"
"cng_dsd_cancellation_rate","Metric","N/A","","mean","0.033451","748,215","0.033152","770,834","-0.000298","[-0.000771, +0.000176]","-0.008901","[-2.3059%, +0.5257%]","0.217872","-","0.405483","-0.003667","-0.000121","0.033504","749,258","0.000056","[-0.000422, +0.000534]","0.001681","[-1.2603%, +1.5965%]","0.817569","-","0.405483","0.000692","0.000023"
"cng_dsd_mi","Metric","N/A","","mean","0.017582","734,146","0.017748","756,312","0.000163","[-0.000189, +0.000514]","0.009266","[-1.0724%, +2.9256%]","0.363622","-","0.405575","0.003731","0.000066","0.017719","735,005","0.000132","[-0.000223, +0.000488]","0.007531","[-1.2691%, +2.7752%]","0.465445","-","0.405575","0.003029","0.000054"
"cng_dsd_mto","Metric","N/A","","mean","0.036379","734,144","0.036160","756,308","-0.000219","[-0.000842, +0.000404]","-0.006027","[-2.3147%, +1.1093%]","0.490200","-","0.405588","-0.002289","-0.000089","0.035981","735,003","-0.000399","[-0.00102, +0.000221]","-0.010979","[-2.804%, +0.6082%]","0.207198","-","0.405588","-0.004166","-0.000162"
"cng_dsd_post_sub_inf","Metric","N/A","","mean","0.028302","734,144","0.028203","756,308","-0.000099","[-0.000334, +0.000136]","-0.003505","[-1.1817%, +0.4808%]","0.408591","-","0.387389","-0.001303","-0.000038","0.028245","735,003","-0.000059","[-0.000295, +0.000176]","-0.002097","[-1.0428%, +0.6234%]","0.621815","-","0.387389","-0.000779","-0.000023"
"cng_dsd_pre_sub_inf","Metric","N/A","","mean","0.121535","734,144","0.121334","756,308","-0.000201","[-0.000655, +0.000254]","-0.001651","[-0.5391%, +0.2089%]","0.386993","-","0.387389","-0.000643","-0.000078","0.120974","735,003","-0.000564","[-0.001021, -0.000107]","-0.004641","[-0.8399%, -0.0884%]","0.015480","Significant","0.387389","-0.001806","-0.000218"
"cng_dsd_single_item_cancellation_rate","Metric","N/A","","mean","0.059780","235,998","0.060378","243,457","0.000599","[-0.000679, +0.001876]","0.010013","[-1.1362%, +3.1388%]","0.358538","-","0.429048","0.004223","0.000257","0.060815","237,330","0.001037","[-0.000248, +0.002322]","0.017342","[-0.4156%, +3.884%]","0.113865","-","0.429048","0.007312","0.000445"
"cng_dsd_subs_rate","Metric","N/A","","mean","0.767127","734,144","0.767564","756,308","0.000417","[-0.001238, +0.002073]","0.000544","[-0.1614%, +0.2702%]","0.621321","-","0.389435","0.000215","0.000162","0.766524","735,003","-0.000590","[-0.002251, +0.001071]","-0.000769","[-0.2935%, +0.1396%]","0.486180","-","0.389435","-0.000303","-0.000229"
"cng_gov_per_cx_nc","Metric","N/A","","mean","14.044982","5,508,685","14.075607","5,676,380","0.029372","[-0.022702, +0.081445]","0.002091","[-0.1616%, +0.5799%]","0.268939","-","0.396565","0.000829","0.067865","14.056946","5,507,000","-0.006624","[-0.058539, +0.04529]","-0.000472","[-0.4168%, +0.3225%]","0.802513","-","0.396565","-0.000187","-0.015306"
"consumer_country_Australia","Dimension","cng_gov_per_cx_nc","","mean","17.405446","48,195","17.677020","49,655","0.266036","[-0.318108, +0.850181]","0.015285","[-1.8276%, +4.8846%]","0.372058","-","0.004419","0.000068","0.005536","17.910952","48,288","0.551868","[-0.033038, +1.136774]","0.031707","[-0.1898%, +6.5311%]","0.064421","-","0.004419","0.000140","0.011484"
"consumer_country_Canada","Dimension","cng_gov_per_cx_nc","","mean","15.423713","83,613","15.139166","86,763","-0.304478","[-0.738948, +0.129993]","-0.019741","[-4.791%, +0.8428%]","0.169583","-","0.006801","-0.000134","-0.011003","15.225262","83,409","-0.218643","[-0.656793, +0.219506]","-0.014176","[-4.2583%, +1.4232%]","0.328049","-","0.006801","-0.000096","-0.007901"
"consumer_country_NULL","Dimension","cng_gov_per_cx_nc","","mean","1.981509","19,880","2.067650","20,438","0.086141","[-0.315913, +0.488196]","0.043472","[-15.9431%, +24.6376%]","0.674539","-","0.000208","0.000009","0.000739","2.031538","19,965","0.050029","[-0.339951, +0.44001]","0.025248","[-17.1562%, +22.2058%]","0.801476","-","0.000208","0.000005","0.000429"
"consumer_country_US","Dimension","cng_gov_per_cx_nc","","mean","13.520615","5,354,872","13.552601","5,517,354","0.028294","[-0.030714, +0.087301]","0.002093","[-0.2272%, +0.6457%]","0.347328","-","0.381137","0.000798","0.065372","13.540119","5,353,151","0.021267","[-0.037611, +0.080144]","0.001573","[-0.2782%, +0.5928%]","0.478977","-","0.381137","0.000600","0.049137"
"consumer_country_Unknown","Dimension","cng_gov_per_cx_nc","","mean","21.494067","2,125","19.866408","2,170","-0.294142","[-4.906775, +4.318492]","-0.013685","[-22.8285%, +20.0916%]","0.900536","-","0.000242","-0.000003","-0.000272","19.858578","2,187","-0.485647","[-5.309084, +4.337791]","-0.022594","[-24.7002%, +20.1813%]","0.843563","-","0.000242","-0.000005","-0.000448"
"cng_business_line_RetailVert","Dimension","cng_gov_per_cx_nc","","mean","1.266836","5,508,685","1.280363","5,676,380","0.008675","[-0.010938, +0.028288]","0.006848","[-0.8634%, +2.2329%]","0.386008","-","0.036729","0.000252","0.020619","1.277167","5,507,000","0.004768","[-0.014739, +0.024274]","0.003763","[-1.1634%, +1.9161%]","0.631911","-","0.036729","0.000138","0.011332"
"cng_business_line_1P Convenience","Dimension","cng_gov_per_cx_nc","","mean","1.025440","5,508,685","1.023924","5,676,380","-0.002537","[-0.012027, +0.006953]","-0.002474","[-1.1729%, +0.678%]","0.600274","-","0.029734","-0.000074","-0.006031","1.019955","5,507,000","-0.005768","[-0.015365, +0.003828]","-0.005625","[-1.4984%, +0.3733%]","0.238748","-","0.029734","-0.000167","-0.013711"
"cng_business_line_3P Convenience","Dimension","cng_gov_per_cx_nc","","mean","3.847786","5,508,685","3.855271","5,676,380","0.011789","[-0.005019, +0.028598]","0.003064","[-0.1304%, +0.7432%]","0.169210","-","0.111573","0.000342","0.028023","3.856309","5,507,000","0.009191","[-0.007681, +0.026064]","0.002389","[-0.1996%, +0.6774%]","0.285640","-","0.111573","0.000267","0.021847"
"cng_business_line_Alcohol","Dimension","cng_gov_per_cx_nc","","mean","1.281475","5,508,685","1.303486","5,676,380","0.016241","[+0.001309, +0.031173]","0.012674","[+0.1022%, +2.4326%]","0.033023","Significant","0.037159","0.000471","0.038604","1.292170","5,507,000","0.007519","[-0.007503, +0.022542]","0.005868","[-0.5855%, +1.759%]","0.326555","-","0.037159","0.000218","0.017873"
"cng_business_line_Grocery","Dimension","cng_gov_per_cx_nc","","mean","6.295907","5,508,685","6.288909","5,676,380","-0.009839","[-0.042382, +0.022705]","-0.001563","[-0.6732%, +0.3606%]","0.553487","-","0.182561","-0.000285","-0.023385","6.296443","5,507,000","-0.020376","[-0.052751, +0.011999]","-0.003236","[-0.8379%, +0.1906%]","0.217364","-","0.182561","-0.000591","-0.048433"
"cng_business_line_Pets","Dimension","cng_gov_per_cx_nc","","mean","0.306435","5,508,685","0.306893","5,676,380","-0.001879","[-0.007966, +0.004208]","-0.006131","[-2.5995%, +1.3733%]","0.545224","-","0.008886","-0.000054","-0.004466","0.307312","5,507,000","-0.001617","[-0.007708, +0.004474]","-0.005277","[-2.5155%, +1.4601%]","0.602842","-","0.008886","-0.000047","-0.003844"
"is_new_nv_user_0","Dimension","cng_gov_per_cx_nc","","mean","19.274628","3,655,780","19.317121","3,766,604","0.044284","[-0.031739, +0.120307]","0.002298","[-0.1647%, +0.6242%]","0.253585","-","0.370941","0.000852","0.069852","19.308064","3,654,769","0.026076","[-0.049752, +0.101903]","0.001353","[-0.2581%, +0.5287%]","0.500317","-","0.370941","0.000502","0.041131"
"is_new_nv_user_1","Dimension","cng_gov_per_cx_nc","","mean","2.244170","1,835,355","2.250834","1,891,590","0.006726","[-0.028712, +0.042164]","0.002997","[-1.2794%, +1.8788%]","0.709914","-","0.021684","0.000065","0.005326","2.236315","1,834,527","-0.007938","[-0.043529, +0.027653]","-0.003537","[-1.9397%, +1.2322%]","0.661997","-","0.021684","-0.000077","-0.006287"
"is_new_nv_user_NULL","Dimension","cng_gov_per_cx_nc","","mean","1.826807","17,550","1.844035","18,186","0.017229","[-0.394629, +0.429086]","0.009431","[-21.6021%, +23.4883%]","0.934656","-","0.000170","0.000002","0.000131","1.807778","17,704","-0.019029","[-0.422075, +0.384017]","-0.010417","[-23.1045%, +21.0212%]","0.926272","-","0.000170","-0.000002","-0.000145"
"consumer_is_dashpass_0","Dimension","cng_gov_per_cx_nc","","mean","8.008693","3,118,761","8.019473","3,211,976","0.012063","[-0.042419, +0.066546]","0.001506","[-0.5297%, +0.8309%]","0.664319","-","0.131474","0.000198","0.016231","8.010078","3,118,328","0.006353","[-0.048174, +0.060879]","0.000793","[-0.6015%, +0.7602%]","0.819376","-","0.131474","0.000104","0.008548"
"consumer_is_dashpass_1","Dimension","cng_gov_per_cx_nc","","mean","20.911650","2,371,989","20.955797","2,445,852","0.036341","[-0.076584, +0.149266]","0.001738","[-0.3662%, +0.7138%]","0.528201","-","0.261164","0.000454","0.037200","20.959776","2,370,600","0.048525","[-0.064112, +0.161162]","0.002320","[-0.3066%, +0.7707%]","0.398462","-","0.261164","0.000606","0.049672"
"cng_new_cx_trials_per_cx_nc","Metric","N/A","","mean","0.017284","5,508,685","0.017275","5,676,380","-0.000005","[-0.000157, +0.000148]","-0.000277","[-0.9105%, +0.8551%]","0.950981","-","0.316034","-0.000088","-0.000011","0.017266","5,507,000","-0.000015","[-0.000169, +0.000138]","-0.000885","[-0.9778%, +0.8009%]","0.845419","-","0.316034","-0.000280","-0.000035"
