"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","doubledash-us-treatment-min-119-119 Value","doubledash-us-treatment-min-119-119 Exposure Volume","doubledash-us-treatment-min-119-119 Absolute Impact","doubledash-us-treatment-min-119-119 Absolute Impact Confidence Interval","doubledash-us-treatment-min-119-119 Relative Impact","doubledash-us-treatment-min-119-119 Relative Impact Confidence Interval","doubledash-us-treatment-min-119-119 P Value","doubledash-us-treatment-min-119-119 Significance","doubledash-us-treatment-min-119-119 Coverage","doubledash-us-treatment-min-119-119 Relative Global Lift","doubledash-us-treatment-min-119-119 Absolute Global Lift","doubledash-us-treatment-min-99-99 Value","doubledash-us-treatment-min-99-99 Exposure Volume","doubledash-us-treatment-min-99-99 Absolute Impact","doubledash-us-treatment-min-99-99 Absolute Impact Confidence Interval","doubledash-us-treatment-min-99-99 Relative Impact","doubledash-us-treatment-min-99-99 Relative Impact Confidence Interval","doubledash-us-treatment-min-99-99 P Value","doubledash-us-treatment-min-99-99 Significance","doubledash-us-treatment-min-99-99 Coverage","doubledash-us-treatment-min-99-99 Relative Global Lift","doubledash-us-treatment-min-99-99 Absolute Global Lift"
"consumer_is_dashpass_NULL","Dimension","dbd_o2_gmv","","mean","0.060834","104,679","0.069408","101,443","0.008574","[-0.004823, +0.021971]","0.140941","[-7.9289%, +36.1171%]","0.209726","-","0.000214","0.000030","0.000928","0.064150","101,310","0.003316","[-0.009491, +0.016123]","0.054509","[-15.601%, +26.5028%]","0.611813","-","0.000214","0.000012","0.000359"
"dbd_o2_post_checkout_aov","Metric","N/A","","mean","20.807046","685,287","20.840846","661,154","0.029042","[-0.023919, +0.082002]","0.001396","[-0.115%, +0.3941%]","0.282472","-","0.681306","0.000941","0.019803","20.819651","663,691","0.001008","[-0.051766, +0.053782]","0.000048","[-0.2488%, +0.2585%]","0.970131","-","0.681306","0.000033","0.000687"
"dbd_o2_post_checkout_gmv","Metric","N/A","","mean","1.865393","8,842,901","1.861221","8,587,219","-0.005067","[-0.014435, +0.004301]","-0.002716","[-0.7738%, +0.2306%]","0.289085","-","0.674028","-0.001831","-0.046404","1.866109","8,585,404","-0.002391","[-0.011733, +0.006951]","-0.001282","[-0.629%, +0.3726%]","0.615938","-","0.674028","-0.000864","-0.021897"
"dbd_o2_pre_checkout_aov","Metric","N/A","","mean","15.153828","685,287","15.623888","661,154","0.466880","[+0.384167, +0.549593]","0.030809","[+2.5351%, +3.6268%]","0.000000","Significant","0.691458","0.020774","0.320693","15.473688","663,691","0.310800","[+0.229632, +0.391968]","0.020510","[+1.5153%, +2.5866%]","0.000000","Significant","0.691458","0.013864","0.214025"
"consumer_is_dashpass_0","Dimension","dbd_o2_pre_checkout_aov","","mean","15.779784","272,909","16.003893","263,142","0.224109","[+0.095636, +0.352582]","0.014202","[+0.6061%, +2.2344%]","0.000629","Significant","0.235422","0.003370","0.052019","15.874768","263,444","0.094984","[-0.031565, +0.221532]","0.006019","[-0.2%, +1.4039%]","0.141266","-","0.235422","0.001441","0.022244"
"consumer_is_dashpass_1","Dimension","dbd_o2_pre_checkout_aov","","mean","14.832628","412,053","15.429133","397,674","0.596505","[+0.489855, +0.703155]","0.040216","[+3.3025%, +4.7406%]","0.000000","Significant","0.455744","0.017391","0.268471","15.267696","399,916","0.435068","[+0.330957, +0.539178]","0.029332","[+2.2313%, +3.6351%]","0.000000","Significant","0.455744","0.012724","0.196431"
"consumer_is_dashpass_NULL","Dimension","dbd_o2_pre_checkout_aov","","mean","11.603296","325","12.372898","338","0.769601","[-1.39362, +2.932823]","0.066326","[-12.0106%, +25.2758%]","0.485622","-","0.000376","0.000018","0.000271","12.702913","331","1.099617","[-1.613276, +3.812509]","0.094768","[-13.9036%, +32.8571%]","0.426944","-","0.000376","0.000030","0.000463"
"dbd_o2_pre_checkout_gmv","Metric","N/A","","mean","0.397705","8,842,901","0.398776","8,587,219","0.000997","[-0.002821, +0.004816]","0.002507","[-0.7094%, +1.2109%]","0.608736","-","0.679393","0.001704","0.009133","0.399767","8,585,404","0.000523","[-0.003268, +0.004314]","0.001315","[-0.8217%, +1.0848%]","0.786830","-","0.679393","0.000894","0.004791"
"consumer_is_dashpass_0","Dimension","dbd_o2_pre_checkout_gmv","","mean","0.224114","5,570,584","0.221620","5,407,978","-0.002494","[-0.005894, +0.000906]","-0.011128","[-2.6301%, +0.4045%]","0.150581","-","0.241114","-0.002683","-0.014384","0.222749","5,405,713","-0.001365","[-0.004772, +0.002042]","-0.006091","[-2.1292%, +0.9111%]","0.432282","-","0.241114","-0.001469","-0.007873"
"consumer_is_dashpass_1","Dimension","dbd_o2_pre_checkout_gmv","","mean","0.715681","3,167,638","0.722726","3,077,798","0.007045","[-0.002393, +0.016483]","0.009844","[-0.3344%, +2.3032%]","0.143477","-","0.438167","0.004313","0.023123","0.723201","3,078,381","0.007520","[-0.001777, +0.016817]","0.010507","[-0.2483%, +2.3498%]","0.112880","-","0.438167","0.004604","0.024682"
"consumer_is_dashpass_NULL","Dimension","dbd_o2_pre_checkout_gmv","","mean","0.013412","104,679","0.014392","101,443","0.000980","[-0.004086, +0.006046]","0.073069","[-30.465%, +45.0788%]","0.704576","-","0.000271","0.000020","0.000106","0.017303","101,310","0.003891","[-0.002311, +0.010093]","0.290113","[-17.2341%, +75.2568%]","0.218865","-","0.000271","0.000079","0.000421"
"dbd_o2_subtotal","Metric","N/A","","mean","13.007937","685,287","13.060248","661,154","0.047823","[+0.008629, +0.087016]","0.003676","[+0.0663%, +0.6689%]","0.016781","Significant","0.683579","0.002464","0.032662","13.040502","663,691","0.020321","[-0.018601, +0.059243]","0.001562","[-0.143%, +0.4554%]","0.306174","-","0.683579","0.001048","0.013886"
"consumer_is_dashpass_0","Dimension","dbd_o2_subtotal","","mean","11.673997","272,909","11.708008","263,142","0.034011","[-0.021738, +0.089761]","0.002913","[-0.1862%, +0.7689%]","0.231805","-","0.233087","0.000596","0.007902","11.672634","263,444","-0.001363","[-0.056703, +0.053977]","-0.000117","[-0.4857%, +0.4624%]","0.961499","-","0.233087","-0.000024","-0.000317"
"consumer_is_dashpass_1","Dimension","dbd_o2_subtotal","","mean","13.702492","412,053","13.761670","397,674","0.059178","[+0.006233, +0.112122]","0.004319","[+0.0455%, +0.8183%]","0.028472","Significant","0.450260","0.002008","0.026615","13.748663","399,916","0.046171","[-0.006411, +0.098753]","0.003370","[-0.0468%, +0.7207%]","0.085249","-","0.450260","0.001567","0.020773"
"consumer_is_dashpass_NULL","Dimension","dbd_o2_subtotal","","mean","9.128033","325","10.083010","338","0.954977","[-0.307368, +2.217322]","0.104620","[-3.3673%, +24.2913%]","0.138145","-","0.000312","0.000022","0.000289","9.223336","331","0.095303","[-0.995166, +1.185773]","0.010441","[-10.9023%, +12.9905%]","0.863993","-","0.000312","0.000002","0.000030"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.020918","6,707,622","0.020777","6,513,766","-0.000141","[-0.000295, +0.000013]","-0.006748","[-1.4109%, +0.0613%]","0.072374","-","0.684776","-0.004621","-0.000102","0.020805","6,513,535","-0.000110","[-0.000264, +0.000044]","-0.005263","[-1.2626%, +0.2101%]","0.161298","-","0.684776","-0.003604","-0.000080"
"dbd_o2_vp","Metric","N/A","","mean","-0.525245","685,287","-0.440904","661,154","0.086996","[+0.069185, +0.104808]","-0.165630","[-13.1719%, -19.9541%]","0.000000","Significant","0.683579","-0.062951","0.059417","-0.468137","663,691","0.061239","[+0.043042, +0.079436]","-0.116591","[-8.1947%, -15.1236%]","0.000000","Significant","0.683579","-0.044334","0.041845"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.060874","8,842,901","-0.050629","8,587,219","0.010164","[+0.008067, +0.012261]","-0.166963","[-13.2516%, -20.1409%]","0.000000","Significant","0.381097","-0.063629","0.093080","-0.054054","8,585,404","0.006812","[+0.004661, +0.008964]","-0.111911","[-7.656%, -14.7261%]","0.000000","Significant","0.381097","-0.042649","0.062389"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.017088","6,707,622","0.017071","6,513,766","-0.000017","[-0.000157, +0.000123]","-0.000997","[-0.9169%, +0.7176%]","0.811064","-","0.682013","-0.000680","-0.000012","0.017069","6,513,535","-0.000017","[-0.000156, +0.000123]","-0.000984","[-0.9156%, +0.7188%]","0.813447","-","0.682013","-0.000671","-0.000012"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.003830","6,707,622","0.003706","6,513,766","-0.000124","[-0.00019, -0.000058]","-0.032387","[-4.9631%, -1.5143%]","0.000232","Significant","0.697382","-0.022586","-0.000090","0.003737","6,513,535","-0.000092","[-0.000159, -0.000026]","-0.024126","[-4.1406%, -0.6845%]","0.006213","Significant","0.697382","-0.016825","-0.000067"
"dbd_order_frequency","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_rate","Metric","N/A","","mean","0.115897","8,842,901","0.114830","8,587,219","-0.001094","[-0.001558, -0.00063]","-0.009440","[-1.3445%, -0.5435%]","0.000004","Significant","0.684220","-0.006459","-0.010019","0.115467","8,585,404","-0.000636","[-0.001102, -0.00017]","-0.005487","[-0.9505%, -0.147%]","0.007432","Significant","0.684220","-0.003754","-0.005824"
"consumer_is_dashpass_0","Dimension","dbd_order_rate","","mean","0.062813","5,570,584","0.062126","5,407,978","-0.000687","[-0.001083, -0.000291]","-0.010937","[-1.724%, -0.4634%]","0.000671","Significant","0.233544","-0.002554","-0.003962","0.062369","5,405,713","-0.000444","[-0.000841, -0.000047]","-0.007069","[-1.3386%, -0.0751%]","0.028317","Significant","0.233544","-0.001651","-0.002561"
"consumer_is_dashpass_1","Dimension","dbd_order_rate","","mean","0.212938","3,167,638","0.211073","3,077,798","-0.001865","[-0.003073, -0.000657]","-0.008758","[-1.4432%, -0.3085%]","0.002482","Significant","0.450545","-0.003946","-0.006121","0.212359","3,078,381","-0.000579","[-0.001791, +0.000633]","-0.002719","[-0.841%, +0.2972%]","0.349008","-","0.450545","-0.001225","-0.001900"
"consumer_is_dashpass_NULL","Dimension","dbd_order_rate","","mean","0.004280","104,679","0.004456","101,443","0.000176","[-0.000628, +0.00098]","0.041122","[-14.6674%, +22.8917%]","0.667798","-","0.000299","0.000012","0.000019","0.004560","101,310","0.000280","[-0.000571, +0.001131]","0.065421","[-13.3372%, +26.4213%]","0.518925","-","0.000299","0.000020","0.000030"
"dbd_order_rate_14d","Metric","N/A","","mean","0.098144","8,518,493","0.097326","8,272,480","-0.000842","[-0.001239, -0.000445]","-0.008580","[-1.2626%, -0.4533%]","0.000032","Significant","0.558556","-0.004792","-0.007429","0.097774","8,270,901","-0.000533","[-0.000931, -0.000135]","-0.005430","[-0.9485%, -0.1375%]","0.008670","Significant","0.558556","-0.003033","-0.004702"
"dbd_order_rate_28d","Metric","N/A","","mean","0.175123","4,515,258","0.173597","4,381,983","-0.001636","[-0.002461, -0.000811]","-0.009343","[-1.4054%, -0.4633%]","0.000101","Significant","0.528274","-0.004936","-0.007649","0.174679","4,383,103","-0.000829","[-0.001656, -0.000001]","-0.004731","[-0.9456%, -0.0006%]","0.049729","Significant","0.528274","-0.002499","-0.003873"
"dbd_order_rate_7d","Metric","N/A","","mean","0.061918","8,842,901","0.061376","8,587,219","-0.000554","[-0.000824, -0.000284]","-0.008943","[-1.3306%, -0.4579%]","0.000059","Significant","0.365985","-0.003273","-0.005071","0.061582","8,585,404","-0.000425","[-0.000696, -0.000155]","-0.006869","[-1.1237%, -0.2501%]","0.002056","Significant","0.365985","-0.002514","-0.003895"
"dbd_pcc_load_latency_ios","Metric","N/A","","mean","0.417825","108,800","0.416492","106,239","-0.001333","[-0.005769, +0.003103]","-0.003191","[-1.3808%, +0.7427%]","0.555868","-","0.767245","-0.002505","-0.001022","0.418709","104,501","0.000884","[-0.003592, +0.00536]","0.002116","[-0.8597%, +1.2828%]","0.698668","-","0.767245","0.001664","0.000679"
"dbd_post_checkout_order_rate","Metric","N/A","","mean","0.089652","8,842,901","0.089306","8,587,219","-0.000361","[-0.000751, +0.000028]","-0.004031","[-0.8374%, +0.0312%]","0.068880","-","0.681946","-0.002749","-0.003310","0.089632","8,585,404","-0.000138","[-0.000529, +0.000252]","-0.001544","[-0.5897%, +0.2809%]","0.486975","-","0.681946","-0.001053","-0.001268"
"dbd_post_checkout_order_rate_14d","Metric","N/A","","mean","0.076012","8,518,493","0.075779","8,272,480","-0.000246","[-0.000582, +0.00009]","-0.003234","[-0.7658%, +0.119%]","0.151888","-","0.557147","-0.001802","-0.002169","0.075975","8,270,901","-0.000129","[-0.000466, +0.000207]","-0.001699","[-0.6127%, +0.273%]","0.452129","-","0.557147","-0.000946","-0.001139"
"dbd_post_checkout_order_rate_28d","Metric","N/A","","mean","0.134907","4,515,258","0.134402","4,381,983","-0.000587","[-0.001277, +0.000103]","-0.004351","[-0.9468%, +0.0765%]","0.095531","-","0.524108","-0.002281","-0.002744","0.135089","4,383,103","-0.000025","[-0.000717, +0.000668]","-0.000182","[-0.5316%, +0.4951%]","0.944508","-","0.524108","-0.000096","-0.000115"
"dbd_post_checkout_order_rate_7d","Metric","N/A","","mean","0.048081","8,842,901","0.047938","8,587,219","-0.000150","[-0.000382, +0.000083]","-0.003113","[-0.7951%, +0.1726%]","0.207322","-","0.365855","-0.001139","-0.001371","0.047991","8,585,404","-0.000141","[-0.000374, +0.000091]","-0.002940","[-0.7779%, +0.19%]","0.233793","-","0.365855","-0.001076","-0.001295"
"dbd_post_o2_vp_per_cx","Metric","N/A","","mean","-0.027460","8,842,901","-0.027554","8,587,219","-0.000311","[-0.002082, +0.001461]","0.011307","[+7.5814%, -5.32%]","0.731181","-","0.287763","0.003254","-0.002844","-0.027345","8,585,404","0.000045","[-0.001788, +0.001878]","-0.001633","[+6.5115%, -6.8382%]","0.961754","-","0.287763","-0.000470","0.000411"
"dbd_pre_checkout_order_rate","Metric","N/A","","mean","0.026245","8,842,901","0.025524","8,587,219","-0.000734","[-0.000959, -0.00051]","-0.027975","[-3.6536%, -1.9414%]","0.000000","Significant","0.692084","-0.019361","-0.006724","0.025835","8,585,404","-0.000487","[-0.000713, -0.000261]","-0.018545","[-2.7154%, -0.9936%]","0.000024","Significant","0.692084","-0.012834","-0.004457"
"dbd_pre_checkout_order_rate_14d","Metric","N/A","","mean","0.022133","8,518,493","0.021547","8,272,480","-0.000598","[-0.00079, -0.000406]","-0.027010","[-3.5694%, -1.8325%]","0.000000","Significant","0.563461","-0.015219","-0.005274","0.021798","8,270,901","-0.000397","[-0.000591, -0.000204]","-0.017958","[-2.6692%, -0.9224%]","0.000056","Significant","0.563461","-0.010119","-0.003507"
"consumer_is_dashpass_0","Dimension","dbd_pre_checkout_order_rate_14d","","mean","0.016070","3,160,211","0.015663","3,063,537","-0.000407","[-0.000662, -0.000152]","-0.025327","[-4.1178%, -0.9476%]","0.001739","Significant","0.151905","-0.003847","-0.001331","0.015902","3,066,501","-0.000168","[-0.000425, +0.000089]","-0.010454","[-2.6466%, +0.5557%]","0.200645","-","0.151905","-0.001588","-0.000549"
"consumer_is_dashpass_1","Dimension","dbd_pre_checkout_order_rate_14d","","mean","0.046068","2,370,623","0.044927","2,302,949","-0.001141","[-0.001733, -0.000549]","-0.024768","[-3.7617%, -1.1918%]","0.000158","Significant","0.327122","-0.008102","-0.002803","0.045298","2,305,248","-0.000770","[-0.001364, -0.000176]","-0.016714","[-2.9615%, -0.3814%]","0.011103","Significant","0.327122","-0.005468","-0.001892"
"consumer_is_dashpass_NULL","Dimension","dbd_pre_checkout_order_rate_14d","","mean","0.001516","42,876","0.001375","41,443","-0.000141","[-0.000839, +0.000557]","-0.093008","[-55.3528%, +36.7512%]","0.692223","-","0.000194","-0.000018","-0.000006","0.001528","41,217","0.000012","[-0.000758, +0.000782]","0.007916","[-50.017%, +51.6002%]","0.975641","-","0.000194","0.000000","0.000000"
"dbd_pre_checkout_order_rate_28d","Metric","N/A","","mean","0.040216","4,515,258","0.039196","4,381,983","-0.001061","[-0.001467, -0.000656]","-0.026392","[-3.6484%, -1.63%]","0.000000","Significant","0.542748","-0.014324","-0.004962","0.039590","4,383,103","-0.000778","[-0.001185, -0.000371]","-0.019353","[-2.9478%, -0.9228%]","0.000179","Significant","0.542748","-0.010504","-0.003639"
"dbd_pre_checkout_order_rate_7d","Metric","N/A","","mean","0.013837","8,842,901","0.013438","8,587,219","-0.000405","[-0.000535, -0.000274]","-0.029256","[-3.8685%, -1.9827%]","0.000000","Significant","0.366439","-0.010721","-0.003707","0.013591","8,585,404","-0.000280","[-0.000411, -0.000149]","-0.020220","[-2.9689%, -1.0751%]","0.000028","Significant","0.366439","-0.007409","-0.002562"
"consumer_is_dashpass_0","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.009514","4,571,516","0.009289","4,435,575","-0.000225","[-0.00037, -0.00008]","-0.023649","[-3.8891%, -0.8408%]","0.002357","Significant","0.130255","-0.003080","-0.001065","0.009406","4,435,246","-0.000108","[-0.000254, +0.000038]","-0.011352","[-2.6663%, +0.396%]","0.146205","-","0.130255","-0.001479","-0.000511"
"consumer_is_dashpass_1","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.024610","2,901,058","0.023874","2,818,167","-0.000736","[-0.001063, -0.000409]","-0.029907","[-4.3189%, -1.6624%]","0.000010","Significant","0.214032","-0.006401","-0.002212","0.024055","2,819,813","-0.000555","[-0.000883, -0.000227]","-0.022552","[-3.5884%, -0.922%]","0.000915","Significant","0.214032","-0.004827","-0.001668"
"consumer_is_dashpass_NULL","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.000969","76,400","0.000895","73,765","-0.000074","[-0.000455, +0.000307]","-0.076367","[-46.9727%, +31.6992%]","0.703567","-","0.000221","-0.000017","-0.000006","0.001061","73,521","0.000092","[-0.000332, +0.000516]","0.094943","[-34.263%, +53.2516%]","0.670642","-","0.000221","0.000021","0.000007"
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.047670","8,842,901","0.047941","8,587,219","0.000254","[-0.001031, +0.001539]","0.005333","[-2.1622%, +3.2288%]","0.698188","-","0.681464","0.003634","0.000241","0.047912","8,585,404","0.000065","[-0.001224, +0.001354]","0.001362","[-2.567%, +2.8394%]","0.921319","-","0.681464","0.000928","0.000062"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.453567","8,842,901","0.455060","8,587,219","0.000687","[-0.003297, +0.00467]","0.001514","[-0.7268%, +1.0297%]","0.735427","-","0.699400","0.001059","0.000652","0.457433","8,585,404","0.001702","[-0.002281, +0.005685]","0.003752","[-0.503%, +1.2535%]","0.402342","-","0.699400","0.002624","0.001616"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.094245","8,842,901","0.093829","8,587,219","-0.000154","[-0.002402, +0.002093]","-0.001639","[-2.5487%, +2.2209%]","0.892861","-","0.588103","-0.000964","-0.000147","0.093458","8,585,404","-0.001324","[-0.003566, +0.000917]","-0.014052","[-3.7837%, +0.9733%]","0.246881","-","0.588103","-0.008264","-0.001257"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000265","8,842,901","0.000309","8,587,219","0.000044","[-0.00008, +0.000168]","0.164486","[-30.3068%, +63.2039%]","0.490498","-","0.614022","0.100998","0.000041","0.000375","8,585,404","0.000110","[-0.000024, +0.000244]","0.414911","[-9.1786%, +92.1608%]","0.108510","-","0.614022","0.254764","0.000104"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.197849","8,842,901","0.199777","8,587,219","0.001812","[-0.001557, +0.005181]","0.009158","[-0.7872%, +2.6188%]","0.291877","-","0.557042","0.005102","0.001720","0.198930","8,585,404","0.001009","[-0.00236, +0.004377]","0.005097","[-1.1927%, +2.2121%]","0.557305","-","0.557042","0.002839","0.000957"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.809218","8,842,901","0.813097","8,587,219","0.002984","[-0.00321, +0.009179]","0.003688","[-0.3967%, +1.1343%]","0.345031","-","0.642731","0.002370","0.002833","0.813762","8,585,404","0.001397","[-0.004792, +0.007587]","0.001727","[-0.5922%, +0.9375%]","0.658163","-","0.642731","0.001110","0.001326"
