"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"is_pre_checkout_bundled_order","Metric","N/A","","mean","0.000566","2,264,032","0.001319","2,267,884","0.000753","[+0.000721, +0.000785]","1.329795","[+127.3301%, +138.629%]","0.000000","Significant","","",""
"nv_fco_all","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"nv_hqfr","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"nv_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_frequency_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_inflation_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"vol_from_over_25","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
